"Entity";"Code";"Year";"waste";"Waste.total.or.missmanaged";"totalPop";"gdp";"wasteYear"
"132";"Tanzania";"TZA";2010;0.02;"missmanaged";44841226;"209.058.322.467.574";7.3
"133";"Thailand";"THA";2010;0.108;"missmanaged";69122234;"134.865.624.149.548";39.42
"134";"Togo";"TGO";2010;0.049;"missmanaged";6027798;"12.082.812.098.328";17.885
"135";"Tonga";"TON";2010;0.176;"missmanaged";104058;"498.419.362.951.029";64.24
"136";"Trinidad and Tobago";"TTO";2010;0.19;"missmanaged";1341465;"312.609.070.471.763";69.35
"137";"Tunisia";"TUN";2010;0.088;"missmanaged";10480934;"104.363.655.998.628";32.12
"138";"Turkey";"TUR";2010;0.039;"missmanaged";72752325;"179.592.591.065.745";14.235
"139";"Tuvalu";"TUV";2010;0.108;"missmanaged";9827;"298.644.985.588.888";39.42
"140";"Ukraine";"UKR";2010;0.052;"missmanaged";45448329;"782.449.845.171.438";18.98
"141";"United Arab Emirates";"ARE";2010;0.004;"missmanaged";7511690;"572.326.180.757.649";1.46
"142";"United Kingdom";"GBR";2010;0.004;"missmanaged";62035570;"363.669.831.782.522";1.46
"143";"United States";"USA";2010;0.007;"missmanaged";310383948;"493.741.788.851.797";2.555
"144";"Uruguay";"URY";2010;0.024;"missmanaged";3368786;"170.824.046.586.765";8.76
"145";"Vanuatu";"VUT";2010;0.245;"missmanaged";239651;"294.803.293.729.183";89.425
"146";"Venezuela";"VEN";2010;0.017;"missmanaged";28979857;"165.449.720.552.598";6.205
"147";"Vietnam";"VNM";2010;0.09;"missmanaged";87848445;"440.816.861.192.198";32.85
"148";"Yemen";"YEM";2010;0.077;"missmanaged";NA;"44.787.435.991.429";28.105
"149";"Albania";"ALB";2010;0.069;"total";3204284;"992.718.184.117.512";25.185
"150";"Algeria";"DZA";2010;0.144;"total";35468208;"128.706.026.985.154";52.56
"151";"Angola";"AGO";2010;0.062;"total";19081912;"589.768.284.059.848";22.63
"152";"Antigua and Barbuda";"ATG";2010;0.66;"total";88710;"192.127.201.307.541";240.9
"153";"Argentina";"ARG";2010;0.183;"total";40412376;"187.120.630.773.436";66.795
"154";"Australia";"AUS";2010;0.112;"total";22268384;"414.640.400.696.359";40.88
"155";"Bahamas";"BHS";2010;0.39;"total";342877;"292.219.911.816.149";142.35
"156";"Bahrain";"BHR";2010;0.132;"total";1261835;"405.705.356.928.307";48.18
"157";"Bangladesh";"BGD";2010;0.034;"total";148692131;"244.272.888.765.696";12.41
"158";"Barbados";"BRB";2010;0.57;"total";273331;"164.179.624.523.108";208.05
"159";"Belgium";"BEL";2010;0.08;"total";10712066;"410.859.189.401.366";29.2
"160";"Belize";"BLZ";2010;0.172;"total";311627;"787.680.958.597.644";62.78
"161";"Benin";"BEN";2010;0.043;"total";8849892;"181.877.846.075.906";15.695
"162";"Bermuda";"BMU";2010;0.252;"total";64941;"563.950.078.003.539";91.98
"163";"Bosnia and Herzegovina";"BIH";2010;0.144;"total";3760149;"972.034.217.718.095";52.56
"164";"Brazil";"BRA";2010;0.165;"total";194946470;"145.375.671.930.903";60.225
"165";"Brunei";"BRN";2010;0.026;"total";398920;"805.528.644.713.138";9.49
"166";"Bulgaria";"BGR";2010;0.154;"total";7494332;"152.832.914.751.664";56.21
"167";"Cambodia";"KHM";2010;0.066;"total";14138255;"252.292.682.475.402";24.09
"168";"Cameroon";"CMR";2010;0.046;"total";19598889;"292.982.911.281.962";16.79
"169";"Canada";"CAN";2010;0.093;"total";34016593;"406.993.551.293.841";33.945
"170";"Cape Verde";"CPV";2010;0.065;"total";495999;"582.824.158.804.338";23.725
"171";"Chile";"CHL";2010;0.119;"total";17113688;"194.420.503.154.635";43.435
"172";"China";"CHN";2010;0.121;"total";1341335152;"952.581.848.339.164";44.165
"173";"Colombia";"COL";2010;0.144;"total";46294841;"109.005.052.821.616";52.56
"174";"Comoros";"COM";2010;0.201;"total";734750;"141.250.268.663.997";73.365
"175";"Congo";"COG";2010;0.069;"total";4042899;"518.634.478.845.194";25.185
"176";"Costa Rica";"CRI";2010;0.258;"total";4658887;"129.999.921.931.442";94.17
"177";"Cote d'Ivoire";"CIV";2010;0.103;"total";19737800;"269.025.800.198.952";37.595
"178";"Croatia";"HRV";2010;0.252;"total";4403330;"201.719.575.294.867";91.98
"179";"Cyprus";"CYP";2010;0.248;"total";1103647;"339.411.380.158.355";90.52
"180";"Democratic Republic of Congo";"COD";2010;0.045;"total";65965795;"660.210.955.818.272";16.425
"181";"Denmark";"DNK";2010;0.047;"total";5550142;"439.984.366.716.285";17.155
"182";"Dominica";"DMA";2010;0.149;"total";67757;"101.982.733.729.326";54.385
"183";"Dominican Republic";"DOM";2010;0.144;"total";9927320;"111.325.526.905.467";52.56
"184";"Ecuador";"ECU";2010;0.147;"total";14464739;"935.234.423.681.593";53.655
"185";"Egypt";"EGY";2010;0.178;"total";81121077;"985.746.828.190.066";64.97
"186";"El Salvador";"SLV";2010;0.147;"total";6192993;"630.077.538.777.337";53.655
"187";"Equatorial Guinea";"GNQ";2010;0.144;"total";700401;"337.233.658.030.152";52.56
"188";"Eritrea";"ERI";2010;0.045;"total";5253676;"141.636.580.154.238";16.425
"189";"Estonia";"EST";2010;0.176;"total";1341140;"227.409.720.038.708";64.24
"190";"Fiji";"FJI";2010;0.189;"total";860623;"735.208.836.002.372";68.985
"191";"Finland";"FIN";2010;0.234;"total";5364546;"398.481.344.978.775";85.41
"192";"France";"FRA";2010;0.192;"total";62787427;"368.558.446.824.064";70.08
"193";"Gabon";"GAB";2010;0.054;"total";1505463;"153.557.846.497.731";19.71
"194";"Gambia";"GMB";2010;0.048;"total";1728394;"164.424.236.613.493";17.52
"195";"Georgia";"GEO";2010;0.068;"total";4352244;"673.378.376.130.988";24.82
"196";"Germany";"DEU";2010;0.485;"total";82302465;"404.287.210.307.617";177.025
"197";"Ghana";"GHA";2010;0.04;"total";24391823;"305.938.362.640.541";14.6
"198";"Greece";"GRC";2010;0.2;"total";11359346;"287.260.792.836.873";73
"199";"Grenada";"GRD";2010;0.325;"total";104487;"111.779.997.155.594";118.625
"200";"Guatemala";"GTM";2010;0.28;"total";14388929;"67.140.635.955.465";102.2
"201";"Guinea";"GIN";2010;0.03;"total";9981590;"157.354.495.756.823";10.95
"202";"Guinea-Bissau";"GNB";2010;0.054;"total";1515224;"140.036.329.312.665";19.71
"203";"Guyana";"GUY";2010;0.586;"total";754493;"584.785.725.499.679";213.89
"204";"Haiti";"HTI";2010;0.09;"total";9993247;"150.203.271.141.224";32.85
"205";"Honduras";"HND";2010;0.189;"total";7600524;"397.118.299.352.727";68.985
"206";"Hong Kong";"HKG";2010;0.398;"total";7053189;"481.077.086.333.279";145.27
"207";"Iceland";"ISL";2010;0.281;"total";320136;"389.780.055.953.415";102.565
"208";"India";"IND";2010;0.01;"total";1224614327;"440.469.700.530.387";3.65
"209";"Indonesia";"IDN";2010;0.057;"total";239870937;"843.349.735.678.452";20.805
"210";"Iran";"IRN";2010;0.144;"total";73973630;"179.428.328.426.143";52.56
"211";"Iraq";"IRQ";2010;0.103;"total";31671591;"127.175.975.271.684";37.595
"212";"Ireland";"IRL";2010;0.43;"total";4469900;"440.304.141.487.055";156.95
"213";"Israel";"ISR";2010;0.297;"total";7418400;"297.430.058.727.916";108.405
"214";"Italy";"ITA";2010;0.134;"total";60550848;"362.011.615.672.134";48.91
"215";"Jamaica";"JAM";2010;0.034;"total";2741052;"799.601.948.795.873";12.41
"216";"Japan";"JPN";2010;0.171;"total";126535920;"357.497.566.788.784";62.415
"217";"Jordan";"JOR";2010;0.144;"total";6187227;"947.276.832.624.669";52.56
"218";"Kenya";"KEN";2010;0.027;"total";40512682;"247.601.074.216.401";9.855
"219";"Kiribati";"KIR";2010;0.103;"total";99546;"173.153.862.650.466";37.595
"220";"Kuwait";"KWT";2010;0.686;"total";2736732;"75.204.145.116.617";250.39
"221";"Latvia";"LVA";2010;0.124;"total";2252060;"182.519.532.813.473";45.26
"222";"Lebanon";"LBN";2010;0.094;"total";4227597;"164.517.598.336.606";34.31
"223";"Liberia";"LBR";2010;0.084;"total";3994122;"699.653.721.510.599";30.66
"224";"Libya";"LBY";2010;0.144;"total";6355112;"296.302.221.484.622";52.56
"225";"Lithuania";"LTU";2010;0.132;"total";3323611;"210.706.343.301.646";48.18
"226";"Macao";"MAC";2010;0.368;"total";543656;"981.843.365.009.534";134.32
"227";"Madagascar";"MDG";2010;0.016;"total";20713819;"138.568.507.168.039";5.84
"228";"Malaysia";"MYS";2010;0.198;"total";28401017;"211.072.679.372.523";72.27
"229";"Maldives";"MDV";2010;0.322;"total";315885;"120.055.046.183.167";117.53
"230";"Malta";"MLT";2010;0.214;"total";416515;"283.647.993.209.208";78.11
"231";"Marshall Islands";"MHL";2010;0.192;"total";54038;"347.915.530.340.683";70.08
"232";"Mauritania";"MRT";2010;0.045;"total";3459773;"331.697.478.042.489";16.425
"233";"Mauritius";"MUS";2010;0.23;"total";1299172;"159.384.192.089.782";83.95
"234";"Mexico";"MEX";2010;0.087;"total";113423047;"157.159.721.449.501";31.755
"235";"Micronesia (country)";"FSM";2010;0.103;"total";NA;"329.765.693.360.804";37.595
"236";"Montenegro";"MNE";2010;0.144;"total";631490;"140.345.845.640.087";52.56
"237";"Morocco";"MAR";2010;0.073;"total";31951412;"644.325.361.319.481";26.645
"238";"Mozambique";"MOZ";2010;0.015;"total";23390765;"917.763.832.040.531";5.475
"239";"Myanmar";"MMR";2010;0.075;"total";47963012;"372.121.144.009.279";27.375
"240";"Namibia";"NAM";2010;0.144;"total";2283289;"846.084.736.812.378";52.56
"241";"Nauru";"NRU";2010;0.144;"total";10255;"659.243.683.574.598";52.56
"242";"Netherlands";"NLD";2010;0.424;"total";16612988;"455.246.621.425.733";154.76
"243";"New Zealand";"NZL";2010;0.331;"total";4368136;"321.192.155.430.773";120.815
"244";"Nicaragua";"NIC";2010;0.143;"total";5788163;"402.871.208.738.128";52.195
"245";"Nigeria";"NGA";2010;0.103;"total";158423182;"515.015.881.822.763";37.595
