Entity;Code;Year;Per capita mismanaged plastic waste (kilograms per person per day);Waste total or missmanaged;Total population (Gapminder);GDP per capita, PPP (constant 2011 international $) (constant 2011 international $)
Iran;IRN;2010;0.144;total;73973630;179.428.328.426.143
Iraq;IRQ;2010;0.103;total;31671591;127.175.975.271.684
Ireland;IRL;2010;0.43;total;4469900;440.304.141.487.055
Israel;ISR;2010;0.297;total;7418400;297.430.058.727.916
Italy;ITA;2010;0.134;total;60550848;362.011.615.672.134
Jamaica;JAM;2010;0.034;total;2741052;799.601.948.795.873
Japan;JPN;2010;0.171;total;126535920;357.497.566.788.784
Jordan;JOR;2010;0.144;total;6187227;947.276.832.624.669
Kenya;KEN;2010;0.027;total;40512682;247.601.074.216.401
Kiribati;KIR;2010;0.103;total;99546;173.153.862.650.466
Kuwait;KWT;2010;0.686;total;2736732;75.204.145.116.617
Latvia;LVA;2010;0.124;total;2252060;182.519.532.813.473
Lebanon;LBN;2010;0.094;total;4227597;164.517.598.336.606
Liberia;LBR;2010;0.084;total;3994122;699.653.721.510.599
Libya;LBY;2010;0.144;total;6355112;296.302.221.484.622
Lithuania;LTU;2010;0.132;total;3323611;210.706.343.301.646
Macao;MAC;2010;0.368;total;543656;981.843.365.009.534
Madagascar;MDG;2010;0.016;total;20713819;138.568.507.168.039
Malaysia;MYS;2010;0.198;total;28401017;211.072.679.372.523
Maldives;MDV;2010;0.322;total;315885;120.055.046.183.167
Malta;MLT;2010;0.214;total;416515;283.647.993.209.208
Marshall Islands;MHL;2010;0.192;total;54038;347.915.530.340.683
Mauritania;MRT;2010;0.045;total;3459773;331.697.478.042.489
Mauritius;MUS;2010;0.23;total;1299172;159.384.192.089.782
Mexico;MEX;2010;0.087;total;113423047;157.159.721.449.501
Micronesia (country);FSM;2010;0.103;total;NA;329.765.693.360.804
Montenegro;MNE;2010;0.144;total;631490;140.345.845.640.087
Morocco;MAR;2010;0.073;total;31951412;644.325.361.319.481
Mozambique;MOZ;2010;0.015;total;23390765;917.763.832.040.531
Myanmar;MMR;2010;0.075;total;47963012;372.121.144.009.279
Namibia;NAM;2010;0.144;total;2283289;846.084.736.812.378
Nauru;NRU;2010;0.144;total;10255;659.243.683.574.598
Netherlands;NLD;2010;0.424;total;16612988;455.246.621.425.733
New Zealand;NZL;2010;0.331;total;4368136;321.192.155.430.773
Nicaragua;NIC;2010;0.143;total;5788163;402.871.208.738.128
Nigeria;NGA;2010;0.103;total;158423182;515.015.881.822.763
Norway;NOR;2010;0.28;total;4883111;623.504.107.068.751
Oman;OMN;2010;0.084;total;2782435;453.358.525.168.436
Pakistan;PAK;2010;0.103;total;173593383;428.360.731.163.635
Palau;PLW;2010;0.144;total;20472;118.465.739.334.318
Palestine;PSE;2010;0.063;total;NA;417.274.568.921.544
Panama;PAN;2010;0.145;total;3516820;156.285.922.438.738
Papua New Guinea;PNG;2010;0.103;total;6858266;319.158.041.028.301
Peru;PER;2010;0.144;total;29076512;995.655.663.668.307
Philippines;PHL;2010;0.075;total;93260798;559.683.728.794.962
Poland;POL;2010;0.097;total;38276660;217.706.444.359.772
Portugal;PRT;2010;0.265;total;10675572;272.384.606.724.422
Puerto Rico;PRI;2010;0.252;total;3749009;339.240.540.101.397
Qatar;QAT;2010;0.16;total;1758793;125.140.838.348.001
Romania;ROU;2010;0.042;total;21486371;175.532.832.966.444
Russia;RUS;2010;0.112;total;142958164;231.077.852.212.759
Saint Kitts and Nevis;KNA;2010;0.654;total;52402;21.412.201.453.108
Saint Lucia;LCA;2010;0.522;total;174267;121.238.351.390.475
Saint Vincent and the Grenadines;VCT;2010;0.221;total;109333;991.557.761.891.195
Samoa;WSM;2010;0.103;total;183081;539.989.309.631.838
Sao Tome and Principe;STP;2010;0.103;total;165397;264.151.394.847.294
Saudi Arabia;SAU;2010;0.156;total;27448086;454.212.284.797.446
Senegal;SEN;2010;0.103;total;12433728;218.399.505.141.766
Seychelles;SYC;2010;0.358;total;86518;203.651.189.331.513
Sierra Leone;SLE;2010;0.041;total;5867536;119.998.985.027.502
Singapore;SGP;2010;0.194;total;5086418;721.158.395.014.504
Slovenia;SVN;2010;0.145;total;2029680;286.783.726.303.687
Solomon Islands;SLB;2010;0.103;total;538148;187.136.935.209.356
South Africa;ZAF;2010;0.24;total;50132817;118.878.050.343.927
South Korea;KOR;2010;0.112;total;48183584;303.521.048.190.303
Spain;ESP;2010;0.277;total;46076989;325.070.939.660.629
